epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.37949,0.80545,1.40957,1.38508,0.83915,0.65,0.9086,0.6422,1.64587,1.16196,1.35552,0,0,0
2,9.08908,0.92617,1.92497,1.32976,0.83053,0.65,0.90872,0.64224,1.65366,1.17133,1.36129,1.17822e-06,1.17822e-06,1.17822e-06
3,9.78417,0.75078,1.17148,1.04324,0.81934,0.65,0.85517,0.63498,1.66172,1.1808,1.3685,2.33288e-06,2.33288e-06,2.33288e-06
4,10.5202,1.01149,1.6616,1.38083,0.82741,0.65,0.85492,0.63485,1.67544,1.2044,1.37639,3.46397e-06,3.46397e-06,3.46397e-06
5,11.1944,0.85118,1.22885,1.3391,0.82352,0.65,0.85538,0.63476,1.70094,1.22958,1.38971,4.5715e-06,4.5715e-06,4.5715e-06
6,12.1325,0.63173,0.97075,1.03352,0.81245,0.65,0.85542,0.62644,1.72588,1.25894,1.40392,5.65548e-06,5.65548e-06,5.65548e-06
7,12.7968,1.04889,1.78806,1.49583,0.79321,0.65,0.85546,0.61423,1.74976,1.30243,1.42226,6.71588e-06,6.71588e-06,6.71588e-06
8,13.5544,0.94826,2.076,1.41153,0.78728,0.65,0.85571,0.6121,1.76407,1.32264,1.42858,7.75273e-06,7.75273e-06,7.75273e-06
9,14.2536,0.66222,1.93847,1.14702,0.76772,0.65,0.85542,0.61202,1.75603,1.34317,1.42495,8.76602e-06,8.76602e-06,8.76602e-06
10,14.912,0.7961,1.21266,1.12401,0.75575,0.65,0.85553,0.5891,1.72729,1.33918,1.40956,9.75574e-06,9.75574e-06,9.75574e-06
11,15.601,0.95338,1.24603,1.37591,0.76411,0.65,0.85521,0.5748,1.72063,1.34268,1.40529,1.07219e-05,1.07219e-05,1.07219e-05
12,16.3562,0.79193,1.27458,1.18179,0.75787,0.65,0.85313,0.59369,1.71325,1.35563,1.39985,1.16645e-05,1.16645e-05,1.16645e-05
13,17.0429,1.11431,1.95159,1.52931,0.77053,0.65,0.85241,0.5935,1.72357,1.37187,1.40444,1.25835e-05,1.25835e-05,1.25835e-05
14,17.6983,0.5063,1.49741,1.04395,0.76417,0.65,0.85226,0.59357,1.71414,1.38116,1.39508,1.3479e-05,1.3479e-05,1.3479e-05
15,18.4174,1.00048,2.20568,1.38621,0.75654,0.65,0.85241,0.60248,1.70897,1.3967,1.38862,1.43509e-05,1.43509e-05,1.43509e-05
16,19.1399,1.0404,1.45922,1.39791,0.76016,0.65,0.76947,0.51908,1.69453,1.39111,1.38061,1.51993e-05,1.51993e-05,1.51993e-05
17,19.8352,0.69978,1.01524,1.10367,0.74963,0.65,0.76989,0.51964,1.68957,1.41129,1.38196,1.60241e-05,1.60241e-05,1.60241e-05
18,20.4953,0.5478,0.98032,0.96209,0.74963,0.65,0.76989,0.51964,1.68957,1.41129,1.38196,1.68253e-05,1.68253e-05,1.68253e-05
19,21.1673,0.6558,1.08876,1.01471,0.75268,0.65,0.77616,0.54696,1.6761,1.43529,1.37344,1.7603e-05,1.7603e-05,1.7603e-05
20,21.8229,1.03006,1.30546,1.23457,0.75268,0.65,0.77616,0.54696,1.6761,1.43529,1.37344,1.83571e-05,1.83571e-05,1.83571e-05
21,22.5275,0.73354,1.3228,1.14668,0.74176,0.65,0.76964,0.5075,1.64339,1.44215,1.35677,1.90876e-05,1.90876e-05,1.90876e-05
22,23.1688,0.96414,1.42358,1.16214,0.74176,0.65,0.76964,0.5075,1.64339,1.44215,1.35677,1.97946e-05,1.97946e-05,1.97946e-05
23,23.8214,0.94343,1.37764,1.36658,0.7431,0.65,0.76986,0.543,1.65493,1.47989,1.36323,2.0478e-05,2.0478e-05,2.0478e-05
24,24.445,0.83237,1.28442,1.16601,0.7431,0.65,0.76986,0.543,1.65493,1.47989,1.36323,2.11379e-05,2.11379e-05,2.11379e-05
25,25.0939,0.67439,1.49578,1.08024,0.72386,0.65,0.76984,0.5435,1.66316,1.51527,1.37106,2.17741e-05,2.17741e-05,2.17741e-05
26,25.7616,0.78232,0.97706,1.13378,0.72386,0.65,0.76984,0.5435,1.66316,1.51527,1.37106,2.23869e-05,2.23869e-05,2.23869e-05
27,26.6368,0.79983,1.12726,1.2861,0.73734,0.65,0.70785,0.4723,1.68714,1.58476,1.38078,2.2976e-05,2.2976e-05,2.2976e-05
28,27.3442,0.91629,0.97214,1.18249,0.73734,0.65,0.70785,0.4723,1.68714,1.58476,1.38078,2.35417e-05,2.35417e-05,2.35417e-05
29,28.0703,0.90482,1.28937,1.23876,0.71957,0.65,0.70744,0.47211,1.67988,1.59081,1.37697,2.40837e-05,2.40837e-05,2.40837e-05
30,28.7324,0.96366,0.96728,1.27557,0.71957,0.65,0.70744,0.47211,1.67988,1.59081,1.37697,2.46022e-05,2.46022e-05,2.46022e-05
31,29.4737,0.99038,1.29023,1.32186,0.69414,0.65,0.70734,0.45758,1.69109,1.67152,1.38525,2.50971e-05,2.50971e-05,2.50971e-05
32,30.1677,0.66521,1.32452,1.32263,0.69414,0.65,0.70734,0.45758,1.69109,1.67152,1.38525,2.55685e-05,2.55685e-05,2.55685e-05
33,30.9809,0.97565,1.47745,1.28886,0.64008,0.65882,0.70129,0.41029,1.70197,1.73262,1.38251,2.60163e-05,2.60163e-05,2.60163e-05
34,31.6974,0.97493,1.67419,1.36224,0.64008,0.65882,0.70129,0.41029,1.70197,1.73262,1.38251,2.64405e-05,2.64405e-05,2.64405e-05
35,32.4624,0.88883,0.95849,1.27926,0.6373,0.63038,0.61322,0.3938,1.71204,1.77072,1.39118,2.68412e-05,2.68412e-05,2.68412e-05
36,33.119,0.97393,1.20574,1.33511,0.6373,0.63038,0.61322,0.3938,1.71204,1.77072,1.39118,2.72183e-05,2.72183e-05,2.72183e-05
37,33.7956,0.91692,0.89793,1.28648,0.62334,0.59356,0.59957,0.31827,1.70717,1.81424,1.39273,2.75718e-05,2.75718e-05,2.75718e-05
38,34.4561,0.53906,0.74726,0.94272,0.62334,0.59356,0.59957,0.31827,1.70717,1.81424,1.39273,2.79018e-05,2.79018e-05,2.79018e-05
39,35.1407,0.67542,0.65164,1.12068,0.62545,0.5938,0.59935,0.32755,1.69672,1.82205,1.38954,2.82082e-05,2.82082e-05,2.82082e-05
40,35.8894,0.77699,0.92395,1.13804,0.62545,0.5938,0.59935,0.32755,1.69672,1.82205,1.38954,2.84911e-05,2.84911e-05,2.84911e-05
41,36.6446,0.71968,0.94177,1.08003,0.61852,0.56931,0.5994,0.3191,1.68742,1.86497,1.39362,2.87504e-05,2.87504e-05,2.87504e-05
42,37.3185,0.83414,0.91835,1.11925,0.61852,0.56931,0.5994,0.3191,1.68742,1.86497,1.39362,2.89861e-05,2.89861e-05,2.89861e-05
43,38.0482,1.04642,0.82811,1.53065,0.64655,0.48333,0.55891,0.29039,1.69491,1.91711,1.39533,2.91983e-05,2.91983e-05,2.91983e-05
44,38.7403,0.71928,0.86177,1.10004,0.64655,0.48333,0.55891,0.29039,1.69491,1.91711,1.39533,2.93869e-05,2.93869e-05,2.93869e-05
45,39.6376,0.64587,1.21364,1.08756,0.82321,0.48333,0.55902,0.28009,1.7388,1.97754,1.41191,2.9552e-05,2.9552e-05,2.9552e-05
46,40.3452,0.79721,0.88637,1.20203,0.82321,0.48333,0.55902,0.28009,1.7388,1.97754,1.41191,2.96935e-05,2.96935e-05,2.96935e-05
47,41.0255,0.83904,0.64216,1.24098,0.6285,0.4919,0.57403,0.29048,1.70803,1.95987,1.40235,2.98114e-05,2.98114e-05,2.98114e-05
48,41.6545,0.66893,0.85858,1.0747,0.6285,0.4919,0.57403,0.29048,1.70803,1.95987,1.40235,2.99058e-05,2.99058e-05,2.99058e-05
49,42.3565,0.97459,0.97844,1.33543,0.60072,0.49777,0.58221,0.29361,1.6941,1.95207,1.39913,2.99766e-05,2.99766e-05,2.99766e-05
50,43.0016,0.65016,0.81372,1.08994,0.60072,0.49777,0.58221,0.29361,1.6941,1.95207,1.39913,3.00238e-05,3.00238e-05,3.00238e-05
51,43.7068,0.72506,0.78496,1.2131,0.60418,0.4979,0.56659,0.28326,1.70793,1.99258,1.40379,3.00475e-05,3.00475e-05,3.00475e-05
52,44.4288,0.80071,1.50177,1.16517,0.60418,0.4979,0.56659,0.28326,1.70793,1.99258,1.40379,3.00476e-05,3.00476e-05,3.00476e-05
53,45.1202,0.51964,0.85494,0.99476,0.60418,0.4979,0.56659,0.28326,1.70793,1.99258,1.40379,3.00242e-05,3.00242e-05,3.00242e-05
54,45.8187,0.6948,0.86103,1.07171,0.60855,0.49634,0.53935,0.23923,1.75028,2.05157,1.42909,2.99772e-05,2.99772e-05,2.99772e-05
55,46.5209,0.64059,0.96996,1.12867,0.60855,0.49634,0.53935,0.23923,1.75028,2.05157,1.42909,2.99066e-05,2.99066e-05,2.99066e-05
56,47.2061,0.54879,0.68166,1.14737,0.60855,0.49634,0.53935,0.23923,1.75028,2.05157,1.42909,2.98125e-05,2.98125e-05,2.98125e-05
57,47.9286,0.7194,0.64125,1.20396,0.60731,0.49606,0.53408,0.2349,1.74527,2.06268,1.42141,2.96948e-05,2.96948e-05,2.96948e-05
58,48.572,0.72636,0.86681,1.18069,0.60731,0.49606,0.53408,0.2349,1.74527,2.06268,1.42141,2.95535e-05,2.95535e-05,2.95535e-05
59,49.2226,0.68657,0.65552,1.20118,0.60731,0.49606,0.53408,0.2349,1.74527,2.06268,1.42141,2.93887e-05,2.93887e-05,2.93887e-05
60,49.9259,0.73571,0.887,1.29251,0.80973,0.49656,0.55268,0.24393,1.73631,2.09511,1.42766,2.92003e-05,2.92003e-05,2.92003e-05
61,50.6353,0.61521,0.61905,1.05295,0.80973,0.49656,0.55268,0.24393,1.73631,2.09511,1.42766,2.89884e-05,2.89884e-05,2.89884e-05
